Date,Open,High,Low,Close,Volume,Spread
2021-03-15,1.39298,1.39495,1.3853,1.38981,87456,8
2021-03-16,1.38981,1.39059,1.38089,1.3902,81515,7
2021-03-17,1.3902,1.39759,1.38506,1.39749,99018,7
2021-03-18,1.3975,1.40012,1.38971,1.39227,117958,9
2021-03-19,1.39228,1.39591,1.38301,1.38662,94728,8
2021-03-22,1.38334,1.38767,1.38174,1.38587,62520,7
2021-03-23,1.38593,1.38619,1.37234,1.37311,87944,7
2021-03-24,1.37312,1.37424,1.36738,1.36883,82880,7
2021-03-25,1.36885,1.37482,1.367,1.37461,84066,8
2021-03-26,1.37469,1.38123,1.37418,1.37855,65356,9
2021-03-29,1.379,1.38469,1.37551,1.37739,75309,7
2021-03-30,1.37739,1.37831,1.37058,1.37457,78966,8
2021-03-31,1.37456,1.38116,1.3716,1.37854,74918,8
2021-04-01,1.37855,1.38373,1.37457,1.38332,76308,7
2021-04-02,1.38333,1.38521,1.38095,1.38272,127871,9
2021-04-05,1.38295,1.39148,1.38126,1.39121,46783,9
2021-04-06,1.39121,1.39186,1.38017,1.38297,79074,8
2021-04-07,1.38299,1.38397,1.37241,1.37412,87392,7
2021-04-08,1.37413,1.37822,1.37185,1.3733,71295,8
2021-04-09,1.37333,1.37503,1.36696,1.37054,68315,7
2021-04-12,1.37076,1.37766,1.36689,1.37532,66552,6
2021-04-13,1.37532,1.37688,1.36941,1.37586,70924,8
2021-04-14,1.37587,1.38085,1.37493,1.37775,66013,9
2021-04-15,1.37774,1.38088,1.37612,1.37831,68495,7
2021-04-16,1.37831,1.38437,1.37159,1.38261,71578,7
2021-04-19,1.38175,1.39926,1.38094,1.39911,91570,7
2021-04-20,1.3991,1.40089,1.3926,1.39375,67890,7
2021-04-21,1.39377,1.39494,1.38853,1.39308,62873,8
2021-04-22,1.39305,1.39495,1.38234,1.38386,77972,8
2021-04-23,1.38387,1.38952,1.38352,1.38736,67571,7
2021-04-26,1.38645,1.39292,1.38645,1.38943,69645,8
2021-04-27,1.38943,1.39239,1.38582,1.39027,67265,7
2021-04-28,1.39028,1.39564,1.38607,1.39539,76035,8
2021-04-29,1.39542,1.39764,1.39317,1.395,80970,8
2021-04-30,1.39501,1.39581,1.38023,1.38077,79317,6
2021-05-03,1.38192,1.39315,1.38008,1.39028,66576,7
2021-05-04,1.39028,1.3905,1.38382,1.38869,96998,8
2021-05-05,1.38869,1.3926,1.38759,1.39083,62771,7
2021-05-06,1.39082,1.39405,1.38569,1.38953,87923,7
2021-05-07,1.38953,1.40056,1.38896,1.39811,94203,7
2021-05-10,1.404,1.41582,1.40148,1.41306,86631,8
2021-05-11,1.41307,1.41665,1.41036,1.41352,89515,7
2021-05-12,1.41351,1.41527,1.40499,1.40619,109936,8
2021-05-13,1.4062,1.40778,1.40053,1.40457,100876,8
2021-05-14,1.40457,1.41108,1.40359,1.40945,68930,8
2021-05-17,1.41004,1.41477,1.40769,1.41475,73567,9
2021-05-18,1.41475,1.422,1.41451,1.41869,71282,7
2021-05-19,1.41869,1.42004,1.40995,1.41069,99169,8
2021-05-20,1.41068,1.41938,1.41009,1.41846,91741,7
2021-05-21,1.41848,1.42336,1.41401,1.41409,76253,7
2021-05-24,1.41397,1.41714,1.4111,1.41548,67300,6
2021-05-25,1.41549,1.42107,1.41153,1.41424,87231,7
2021-05-26,1.41424,1.41758,1.41119,1.41149,74191,7
2021-05-27,1.41146,1.42188,1.40913,1.42028,97539,7
2021-05-28,1.42029,1.42053,1.4136,1.41834,93984,7
2021-05-31,1.41791,1.42284,1.41636,1.42266,61239,7
2021-06-01,1.42265,1.42491,1.41452,1.41553,96361,7
2021-06-02,1.41552,1.4183,1.41115,1.41707,85737,8
2021-06-03,1.41709,1.42026,1.40861,1.41076,122029,8
2021-06-04,1.41077,1.42002,1.40827,1.41553,94490,7
2021-06-07,1.41639,1.41906,1.4111,1.41753,82080,6
2021-06-08,1.41755,1.41843,1.41207,1.41487,78061,6
2021-06-09,1.41485,1.4189,1.41094,1.41107,67642,8
2021-06-10,1.41108,1.4178,1.4073,1.417,111385,8
2021-06-11,1.417,1.41851,1.40953,1.41056,82766,7
2021-06-14,1.41172,1.41237,1.40699,1.4109,75998,10
2021-06-15,1.4109,1.41286,1.40341,1.40804,79051,11
2021-06-16,1.40803,1.41324,1.39802,1.39886,116993,10
2021-06-17,1.39887,1.40085,1.38955,1.39374,116302,8
2021-06-18,1.39375,1.3944,1.37914,1.38003,127395,9
2021-06-21,1.38159,1.39369,1.37859,1.39238,117388,10
2021-06-22,1.39237,1.39633,1.386,1.39488,87362,10
2021-06-23,1.39486,1.40011,1.39237,1.39663,86740,9
2021-06-24,1.39664,1.39863,1.38892,1.39157,98924,11
2021-06-25,1.39158,1.39351,1.38711,1.38779,72192,11
2021-06-28,1.38958,1.39393,1.38705,1.38782,71059,8
2021-06-29,1.38782,1.38802,1.38137,1.38398,80259,8
2021-06-30,1.38397,1.38726,1.37982,1.38279,85334,9
2021-07-01,1.3828,1.38342,1.37515,1.37585,99244,9
2021-07-02,1.37584,1.38444,1.37313,1.38244,99116,11
2021-07-05,1.38309,1.38617,1.38167,1.38529,81292,10
2021-07-06,1.38529,1.38981,1.37727,1.38037,100770,8
2021-07-07,1.38038,1.38414,1.37537,1.37992,106240,10
2021-07-08,1.37996,1.38015,1.37414,1.37893,146101,12
2021-07-09,1.37899,1.39088,1.37552,1.38924,149851,9
